subject_name,news_text,sentiment,impact_strength,mention_focus
Ozon,"Несмотря на сильную отчетность, акции Ozon снизились на 6.04%, что связано с общим настроением на рынке. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Торговые объемы на бирже были выше средних за последние три месяца.",0.51,0.46,0.93
Делимобиль,На фоне публикации сильного отчета за 2022 год акции Делимобиль показали рост на 6.21%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.,0.59,0.33,0.74
Газпром,"Несмотря на сильную отчетность, акции Газпром снизились на 5.38%, что связано с общим настроением на рынке. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.2,0.55,0.88
Хэдхантер,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Хэдхантер, потерявшие 5.89%. Торговые объемы на бирже были выше средних за последние три месяца. На фоне геополитической неопределенности инвесторы проявляют осторожность. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",-0.48,0.07,0.71
АЛРОСА,Новости о дивидендах способствовали росту акций АЛРОСА на 1.07%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Новости о дивиденд,0.87,0.3,0.85
Сбербанк,"Сбербанк фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.09,0.97,0.22
Яндекс,"Яндекс фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца.",0.45,0.74,0.33
ИКС 5,"Аналитики отмечают устойчивость ИКС 5 на фоне волатильности индекса МосБиржи, бумаги изменились на 10.76%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",0.54,0.02,0.8
Ozon,На фоне публикации сильного отчета за 2022 год акции Ozon показали рост на 13.8%. На фоне геополитической неопределенности инвесторы проявляют осторожность.,0.93,0.49,0.66
Газпром,Новости о дивидендах способствовали росту акций Газпром на 7.48%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Новости о дивидендах способствовали росту акций Газпром на,0.92,0.46,0.67
Ozon,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Ozon, потерявшие 11.34%. На фоне геополитической неопределенности инвесторы проявляют осторожность.",-0.32,0.37,0.9
М.Видео,"М.Видео упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Торговые объемы на бирже были выше средних за последние три месяца. На фоне геополитической неопределенности инвесторы проявляют осторожность.",0.19,0.23,0.25
Хэдхантер,"Новости о дивидендах способствовали росту акций Хэдхантер на 2.38%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Торговые объемы на бирже были выше средних за последние три месяца. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",0.95,0.83,0.73
ИКС 5,На фоне публикации сильного отчета за 2023 год акции ИКС 5 показали рост на 5.27%. Торговые объемы на бирже были выше средних за последние три месяца. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Падение цен на нефть продолжает оказывать давление на нефтяно,-0.96,0.61,0.93
Татнефть,"Аналитики отмечают устойчивость Татнефть на фоне волатильности индекса МосБиржи, бумаги изменились на 6.0%. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Отчетность компании превзошла консенсус-прогнозы аналитиков. Аналитики предполагают возможность дальнейшего роста акций в б",-0.68,0.65,0.74
ФосАгро,На фоне публикации сильного отчета за 2022 год акции ФосАгро показали рост на 0.51%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Торговые объемы на бирже были выше средних за последние три месяца. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.,-0.77,0.74,0.79
Татнефть,"Аналитики отмечают устойчивость Татнефть на фоне волатильности индекса МосБиржи, бумаги изменились на 0.66%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Аналитики отмечают устойчивость Татнефть на фоне волатильности индекса МосБиржи, бумаги изменились",0.14,0.69,0.82
Яндекс,"Несмотря на сильную отчетность, акции Яндекс снизились на 0.53%, что связано с общим настроением на рынке. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.4,0.69,0.96
Лента,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Лента, акции которой потеряли 10.41%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.38,0.17,0.87
ВТБ,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая ВТБ, акции которой потеряли 1.03%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",-0.55,0.52,0.79
МТС,Акции МТС оставались стабильными несмотря на волатильность на мировых рынках. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Торговые объемы на бирже были выше средних за последние три месяца.,0.92,0.07,0.98
Хэдхантер,"Несмотря на сильную отчетность, акции Хэдхантер снизились на 5.93%, что связано с общим настроением на рынке. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.12,0.32,0.8
Ozon,"Ozon фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Падение цен на нефть продолжает оказывать давление на нефтяной",-0.59,0.49,0.19
Яндекс,"По итогам всех сессий бумаги Яндекс выросли на 2.79%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Отчетность компании превзошла консенсус-прогнозы аналитиков. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. На фоне геополитической неопределенности инвесторы проявляют осторожность. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. По итогам всех сессий бумаги Яндекс выросли на 2.79%, оказавшись в числе лидеров рос",0.37,0.43,0.88
СПБ Биржа,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая СПБ Биржа, акции которой потеряли 11.01%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. На фоне геополитической неопределенности инвесторы проявляют осторожность. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.52,0.24,0.92
Газпром,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Газпром, акции которой потеряли 12.59%. Торговые объемы на бирже были выше средних за последние три месяца. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",-0.93,0.43,0.65
Полюс,"По итогам всех сессий бумаги Полюс выросли на 0.54%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.78,0.21,0.7
Лукойл,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Лукойл, акции которой потеряли 11.39%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Лукой",-0.37,0.47,0.77
Магнит,"Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. На фоне геополитической неопределенности инвесторы проявляют осторожность.",0.36,0.0,0.21
Норильский никель,Акции Норильский никель оставались стабильными несмотря на волатильность на мировых рынках. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Эксперты предупреждают о возможной фиксации прибыли инвесторами.,0.08,0.03,0.86
Юнипро,"Акции Юнипро оставались стабильными несмотря на волатильность на мировых рынках. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сде",0.83,0.94,0.83
Полюс,"Полюс упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Публикация данных о дивидендах вызвала положительную реакцию на рынке. На фоне геополитической неопределенности инвесторы проявляют осторожность. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",0.86,0.27,0.31
Сбербанк,"Аналитики отмечают устойчивость Сбербанк на фоне волатильности индекса МосБиржи, бумаги изменились на 4.97%. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",-0.14,0.39,0.77
Татнефть,"Аналитики отмечают устойчивость Татнефть на фоне волатильности индекса МосБиржи, бумаги изменились на 0.5%. Торговые объемы на бирже были выше средних за последние три месяца. На фоне геополитической неопределенности инвесторы проявляют осторожность. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",0.33,0.21,0.87
Новатэк,Новости о дивидендах способствовали росту акций Новатэк на 12.98%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца.,0.78,0.04,0.65
ЦИАН,"Аналитики отмечают устойчивость ЦИАН на фоне волатильности индекса МосБиржи, бумаги изменились на 3.82%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Публикация данных о дивиден",0.14,0.25,0.99
ЦИАН,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая ЦИАН, акции которой потеряли 1.52%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. На фоне геополитической неопределенности инвесторы проявляют осторожность. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",-0.71,0.39,0.76
ФосАгро,"ФосАгро фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Торговые объемы на бирже были выше средних за последние три месяца.",-0.15,0.17,0.31
ИКС 5,"По итогам всех сессий бумаги ИКС 5 выросли на 12.27%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Аналитики предполагают возможность дальнейшего роста акций в ближайшие неде",0.3,0.17,0.81
ВТБ,"ВТБ фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Эксперты предупре",0.53,0.29,0.29
Позитив,"По итогам всех сессий бумаги Позитив выросли на 14.53%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.66,0.07,0.67
ПИК,"Новости о дивидендах способствовали росту акций ПИК на 11.2%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Несмотря на поз",0.5,0.64,0.7
АЛРОСА,Новости о дивидендах способствовали росту акций АЛРОСА на 1.92%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Торговые объемы на бирже были выше средних за последние три месяца. На фоне геополитической неопределенности инвесторы проявляют осторожность. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.,-0.68,0.46,0.62
Сбербанк,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Сбербанк, акции которой потеряли 9.23%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",-0.33,0.32,0.86
Новатэк,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Новатэк, акции которой потеряли 13.37%. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",-0.48,0.75,0.7
Инарктика,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Инарктика, потерявшие 12.42%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Торговые объемы на бирже были выше средних за последние три месяца. Отчетность компании превзошла консенсус-прогнозы аналитиков. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Отчетность ком",-0.47,0.56,0.91
Новатэк,"Новатэк упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Торговые объемы на бирже были выше средних за последние три месяца. Новатэк упоминалась среди крупнейших компаний на фоне ожиданий",-0.55,0.12,0.16
М.Видео,"Аналитики отмечают устойчивость М.Видео на фоне волатильности индекса МосБиржи, бумаги изменились на 14.92%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца.",0.14,0.48,0.67
Норильский никель,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Норильский никель, потерявшие 11.6%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.52,0.44,0.74
Сегежа,"По итогам всех сессий бумаги Сегежа выросли на 2.59%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Отчетность компании превзошла консенсус-прогнозы аналитиков. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",0.32,0.49,0.9
Роснефть,"Аналитики отмечают устойчивость Роснефть на фоне волатильности индекса МосБиржи, бумаги изменились на 12.81%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.11,0.45,0.72
Лукойл,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Лукойл, акции которой потеряли 13.79%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",-0.81,0.25,0.84
Полюс,"Полюс фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.3,0.7,0.21
Роснефть,Новости о дивидендах способствовали росту акций Роснефть на 12.1%. Торговые объемы на бирже были выше средних за последние три месяца.,0.6,0.2,0.96
Транснефть,"Аналитики отмечают устойчивость Транснефть на фоне волатильности индекса МосБиржи, бумаги изменились на 5.36%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца.",0.7,0.49,0.91
СПБ Биржа,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции СПБ Биржа, потерявшие 6.58%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Публикация данных о дивидендах вызвала положительную р",-0.33,0.46,0.97
МТС,"Несмотря на сильную отчетность, акции МТС снизились на 11.09%, что связано с общим настроением на рынке. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",0.17,0.83,0.93
ПИК,На фоне публикации сильного отчета за 2023 год акции ПИК показали рост на 8.46%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.,0.39,0.87,0.89
Новатэк,"Новатэк упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. На фоне геополитической неопределенности инвесторы проявляют осторожность. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",1.0,0.06,0.33
